date,open,high,low,latest
2006-01-03,92.71,92.71,92.71,92.71
2006-01-04,91.02,91.02,91.02,91.02
2006-01-05,93.96,93.96,93.96,93.96
2006-01-06,92.66,92.66,92.66,92.66
2006-01-09,91.0,91.0,91.0,91.0
2006-01-10,94.96,94.96,94.96,94.96
2006-01-11,92.65,92.65,92.65,92.65
2006-01-12,95.1,95.1,95.1,95.1
2006-01-13,92.49,92.49,92.49,92.49
2006-01-16,89.02,89.02,89.02,89.02
2006-01-17,89.77,89.77,89.77,89.77
2006-01-18,92.95,92.95,92.95,92.95
2006-01-19,92.01,92.01,92.01,92.01
2006-01-20,93.91,93.91,93.91,93.91
2006-01-23,92.76,92.76,92.76,92.76
2006-01-24,92.29,92.29,92.29,92.29
2006-01-25,91.21,91.21,91.21,91.21
2006-01-26,89.69,89.69,89.69,89.69
2006-01-27,88.97,88.97,88.97,88.97
2006-02-01,88.24,88.24,88.24,88.24
2006-02-02,87.53,87.53,87.53,87.53
2006-02-03,88.24,88.24,88.24,88.24
2006-02-06,91.3,91.3,91.3,91.3
2006-02-07,89.93,89.93,89.93,89.93
2006-02-08,94.02,94.02,94.02,94.02
2006-02-09,95.72,95.72,95.72,95.72
2006-02-10,96.07,96.07,96.07,96.07
2006-02-13,97.87,97.87,97.87,97.87
2006-02-14,98.66,98.66,98.66,98.66
2006-02-15,97.41,97.41,97.41,97.41
2006-02-16,94.31,94.31,94.31,94.31
2006-02-17,91.68,91.68,91.68,91.68
2006-02-20,90.74,90.74,90.74,90.74
2006-02-21,92.35,92.35,92.35,92.35
2006-02-22,89.0,89.0,89.0,89.0
2006-02-23,90.03,90.03,90.03,90.03
2006-02-24,89.14,89.14,89.14,89.14
2006-02-27,85.82,85.82,85.82,85.82
2006-02-28,88.5,88.5,88.5,88.5
2006-03-01,88.14,88.14,88.14,88.14
2006-03-02,88.68,88.68,88.68,88.68
2006-03-03,89.39,89.39,89.39,89.39
2006-03-06,91.8,91.8,91.8,91.8
2006-03-07,88.62,88.62,88.62,88.62
2006-03-08,90.7,90.7,90.7,90.7
2006-03-09,91.89,91.89,91.89,91.89
2006-03-10,93.18,93.18,93.18,93.18
2006-03-13,94.42,94.42,94.42,94.42
2006-03-14,91.75,91.75,91.75,91.75
2006-03-15,90.99,90.99,90.99,90.99
2006-03-16,89.6,89.6,89.6,89.6
2006-03-17,90.41,90.41,90.41,90.41
2006-03-20,93.14,93.14,93.14,93.14
2006-03-21,92.06,92.06,92.06,92.06
2006-03-22,93.6,93.6,93.6,93.6
2006-03-23,93.33,93.33,93.33,93.33
2006-03-24,93.12,93.12,93.12,93.12
2006-03-27,93.08,93.08,93.08,93.08
2006-03-28,94.98,94.98,94.98,94.98
2006-03-29,95.56,95.56,95.56,95.56
2006-03-30,91.17,91.17,91.17,91.17
2006-03-31,92.5,92.5,92.5,92.5
2006-04-03,94.83,94.83,94.83,94.83
2006-04-04,94.14,94.14,94.14,94.14
2006-04-05,96.57,96.57,96.57,96.57
2006-04-06,94.58,94.58,94.58,94.58
2006-04-07,92.58,92.58,92.58,92.58
2006-04-10,89.99,89.99,89.99,89.99
2006-04-11,89.07,89.07,89.07,89.07
2006-04-12,89.0,89.0,89.0,89.0
2006-04-13,85.01,85.01,85.01,85.01
2006-04-14,88.75,88.75,88.75,88.75
2006-04-17,89.81,89.81,89.81,89.81
2006-04-18,87.93,87.93,87.93,87.93
2006-04-19,88.91,88.91,88.91,88.91
2006-04-20,85.24,85.24,85.24,85.24
2006-04-21,86.62,86.62,86.62,86.62
2006-04-24,87.11,87.11,87.11,87.11
2006-04-25,88.82,88.82,88.82,88.82
2006-04-26,91.51,91.51,91.51,91.51
2006-04-27,90.85,90.85,90.85,90.85
2006-04-28,90.64,90.64,90.64,90.64
2006-05-02,88.79,88.79,88.79,88.79
2006-05-03,86.5,86.5,86.5,86.5
2006-05-04,86.73,86.73,86.73,86.73
2006-05-08,93.6,93.6,93.6,93.6
2006-05-09,98.78,98.78,98.78,98.78
2006-05-10,100.88,100.88,100.88,100.88
2006-05-11,100.79,100.79,100.79,100.79
2006-05-12,106.43,106.43,106.43,106.43
2006-05-15,116.89,116.89,116.89,116.89
2006-05-16,115.72,115.72,115.72,115.72
2006-05-17,110.66,110.66,110.66,110.66
2006-05-18,110.91,110.91,110.91,110.91
2006-05-19,113.9,113.9,113.9,113.9
2006-05-22,117.55,117.55,117.55,117.55
2006-05-23,111.16,111.16,111.16,111.16
2006-05-24,110.6,110.6,110.6,110.6
2006-05-25,113.94,113.94,113.94,113.94
2006-05-26,113.45,113.45,113.45,113.45
2006-05-29,116.23,116.23,116.23,116.23
2006-05-30,118.05,118.05,118.05,118.05
2006-05-31,114.64,114.64,114.64,114.64
2006-06-01,119.13,119.13,119.13,119.13
2006-06-02,115.14,115.14,115.14,115.14
2006-06-05,118.28,118.28,118.28,118.28
2006-06-06,118.59,118.59,118.59,118.59
2006-06-07,113.11,113.11,113.11,113.11
2006-06-08,119.72,119.72,119.72,119.72
2006-06-09,117.16,117.16,117.16,117.16
2006-06-12,115.16,115.16,115.16,115.16
2006-06-13,120.96,120.96,120.96,120.96
2006-06-14,119.0,119.0,119.0,119.0
2006-06-15,116.51,116.51,116.51,116.51
2006-06-16,112.94,112.94,112.94,112.94
2006-06-19,116.41,116.41,116.41,116.41
2006-06-20,119.77,119.77,119.77,119.77
2006-06-21,119.59,119.59,119.59,119.59
2006-06-22,118.1,118.1,118.1,118.1
2006-06-23,116.07,116.07,116.07,116.07
2006-06-26,115.74,115.74,115.74,115.74
2006-06-27,115.06,115.06,115.06,115.06
2006-06-28,114.89,114.89,114.89,114.89
2006-06-29,116.34,116.34,116.34,116.34
2006-06-30,113.38,113.38,113.38,113.38
2006-07-03,115.7,115.7,115.7,115.7
2006-07-04,113.55,113.55,113.55,113.55
2006-07-05,113.93,113.93,113.93,113.93
2006-07-06,114.7,114.7,114.7,114.7
2006-07-07,113.32,113.32,113.32,113.32
2006-07-10,113.23,113.23,113.23,113.23
2006-07-11,115.05,115.05,115.05,115.05
2006-07-12,114.13,114.13,114.13,114.13
2006-07-13,109.94,109.94,109.94,109.94
2006-07-14,110.81,110.81,110.81,110.81
2006-07-17,114.02,114.02,114.02,114.02
2006-07-18,114.7,114.7,114.7,114.7
2006-07-19,110.17,110.17,110.17,110.17
2006-07-20,108.15,108.15,108.15,108.15
2006-07-21,108.83,108.83,108.83,108.83
2006-07-24,108.54,108.54,108.54,108.54
2006-07-25,110.24,110.24,110.24,110.24
2006-07-26,109.34,109.34,109.34,109.34
2006-07-27,107.88,107.88,107.88,107.88
2006-07-28,106.68,106.68,106.68,106.68
2006-07-31,103.35,103.35,103.35,103.35
2006-08-01,103.48,103.48,103.48,103.48
2006-08-02,102.46,102.46,102.46,102.46
2006-08-03,101.16,101.16,101.16,101.16
2006-08-04,99.45,99.45,99.45,99.45
2006-08-07,98.04,98.04,98.04,98.04
2006-08-08,99.41,99.41,99.41,99.41
2006-08-09,98.35,98.35,98.35,98.35
2006-08-10,100.56,100.56,100.56,100.56
2006-08-11,100.15,100.15,100.15,100.15
2006-08-14,98.19,98.19,98.19,98.19
2006-08-15,100.0,100.0,100.0,100.0
2006-08-16,100.57,100.57,100.57,100.57
2006-08-17,101.24,101.24,101.24,101.24
2006-08-18,100.72,100.72,100.72,100.72
2006-08-21,103.28,103.28,103.28,103.28
2006-08-22,103.55,103.55,103.55,103.55
2006-08-23,102.91,102.91,102.91,102.91
2006-08-24,104.18,104.18,104.18,104.18
2006-08-25,103.76,103.76,103.76,103.76
2006-08-28,105.55,105.55,105.55,105.55
2006-08-29,103.17,103.17,103.17,103.17
2006-08-30,103.26,103.26,103.26,103.26
2006-08-31,103.96,103.96,103.96,103.96
2006-09-01,102.64,102.64,102.64,102.64
2006-09-04,101.96,101.96,101.96,101.96
2006-09-05,101.74,101.74,101.74,101.74
2006-09-06,104.13,104.13,104.13,104.13
2006-09-07,101.74,101.74,101.74,101.74
2006-09-08,102.5,102.5,102.5,102.5
2006-09-11,100.6,100.6,100.6,100.6
2006-09-12,102.87,102.87,102.87,102.87
2006-09-13,101.88,101.88,101.88,101.88
2006-09-14,101.49,101.49,101.49,101.49
2006-09-15,104.76,104.76,104.76,104.76
2006-09-18,104.61,104.61,104.61,104.61
2006-09-19,104.18,104.18,104.18,104.18
2006-09-20,103.59,103.59,103.59,103.59
2006-09-21,103.27,103.27,103.27,103.27
2006-09-22,102.35,102.35,102.35,102.35
2006-09-25,102.4,102.4,102.4,102.4
2006-09-26,102.95,102.95,102.95,102.95
2006-09-27,102.66,102.66,102.66,102.66
2006-09-28,101.98,101.98,101.98,101.98
2006-09-29,102.57,102.57,102.57,102.57
2006-10-03,101.57,101.57,101.57,101.57
